date,city,aqi,dominant_pollutant
2025-02-19T00:00:00+05:30,Delhi,159,pm25
2025-02-19T00:00:00+05:30,Mumbai,119,pm10
2025-02-20T00:00:00+05:30,Delhi,103,pm10
2025-02-20T00:00:00+05:30,Mumbai,109,pm10
2025-02-21T00:00:00+05:30,Delhi,204,pm25
2025-02-21T00:00:00+05:30,Mumbai,103,pm10
2025-02-22T00:00:00+05:30,Delhi,131,pm25
2025-02-22T00:00:00+05:30,Mumbai,96,pm10
2025-02-23T00:00:00+05:30,Delhi,147,pm25
2025-02-24T00:00:00+05:30,Delhi,234,pm25
2025-02-24T00:00:00+05:30,Mumbai,119,pm10
2025-02-25T00:00:00+05:30,Delhi,237,pm25
2025-02-25T00:00:00+05:30,Mumbai,125,pm10
2025-02-26T00:00:00+05:30,Delhi,297,pm25
2025-02-26T00:00:00+05:30,Mumbai,127,pm10
2025-02-27T00:00:00+05:30,Delhi,136,pm10
2025-02-27T00:00:00+05:30,Mumbai,134,pm10
2025-02-28T00:00:00+05:30,Delhi,119,co
2025-02-28T00:00:00+05:30,Mumbai,135,pm10
2025-03-01T00:00:00+05:30,Delhi,114,pm10
2025-03-01T00:00:00+05:30,Mumbai,119,pm10
2025-03-02T00:00:00+05:30,Mumbai,116,pm10
2025-03-03T00:00:00+05:30,Delhi,136,pm10
2025-03-03T00:00:00+05:30,Mumbai,123,pm10
2025-03-04T00:00:00+05:30,Delhi,126,pm10
2025-03-04T00:00:00+05:30,Mumbai,125,pm10
2025-03-05T00:00:00+05:30,Delhi,139,pm10
2025-03-05T00:00:00+05:30,Mumbai,116,pm10
2025-03-06T00:00:00+05:30,Delhi,133,pm10
2025-03-06T00:00:00+05:30,Mumbai,140,pm10
2025-03-07T00:00:00+05:30,Delhi,191,pm25
2025-03-07T00:00:00+05:30,Mumbai,145,pm25
2025-03-08T00:00:00+05:30,Delhi,173,pm25
2025-03-08T00:00:00+05:30,Mumbai,152,pm25
2025-03-09T00:00:00+05:30,Delhi,244,pm25
2025-03-09T00:00:00+05:30,Mumbai,367,pm10
2025-03-10T00:00:00+05:30,Delhi,204,pm25
2025-03-10T00:00:00+05:30,Mumbai,418,pm10
2025-03-11T00:00:00+05:30,Delhi,308,pm25
2025-03-11T00:00:00+05:30,Mumbai,418,pm10
2025-03-12T00:00:00+05:30,Delhi,302,pm25
2025-03-12T00:00:00+05:30,Mumbai,411,pm10
2025-03-13T00:00:00+05:30,Delhi,192,pm25
2025-03-13T00:00:00+05:30,Mumbai,134,pm10
2025-03-14T00:00:00+05:30,Delhi,170,pm25
2025-03-14T00:00:00+05:30,Mumbai,114,pm10
2025-03-15T00:00:00+05:30,Delhi,108,pm10
2025-03-15T00:00:00+05:30,Mumbai,97,pm10
2025-03-16T00:00:00+05:30,Delhi,102,pm10
2025-03-16T00:00:00+05:30,Mumbai,100,pm10
2025-03-17T00:00:00+05:30,Delhi,114,pm10
2025-03-17T00:00:00+05:30,Mumbai,112,pm10
2025-03-18T00:00:00+05:30,Delhi,140,pm10
2025-03-18T00:00:00+05:30,Mumbai,102,pm10
2025-03-19T00:00:00+05:30,Delhi,156,pm25
2025-03-19T00:00:00+05:30,Mumbai,87,pm10
2025-03-20T00:00:00+05:30,Delhi,152,pm10
2025-03-20T00:00:00+05:30,Mumbai,111,pm10
2025-03-21T00:00:00+05:30,Delhi,199,pm25
2025-03-21T00:00:00+05:30,Mumbai,90,pm10
2025-03-22T00:00:00+05:30,Delhi,179,pm25
2025-03-22T00:00:00+05:30,Mumbai,92,pm10
2025-03-23T00:00:00+05:30,Delhi,158,pm10
2025-03-23T00:00:00+05:30,Mumbai,108,pm10
2025-03-24T00:00:00+05:30,Delhi,211,pm25
2025-03-24T00:00:00+05:30,Mumbai,103,pm10
2025-03-25T00:00:00+05:30,Delhi,241,pm25
2025-03-25T00:00:00+05:30,Mumbai,121,pm10
2025-03-26T00:00:00+05:30,Delhi,247,pm25
2025-03-26T00:00:00+05:30,Mumbai,97,pm10
2025-03-27T00:00:00+05:30,Delhi,277,pm10
2025-03-27T00:00:00+05:30,Mumbai,88,pm10
2025-03-28T00:00:00+05:30,Delhi,196,pm10
2025-03-28T00:00:00+05:30,Mumbai,108,pm10
2025-03-29T00:00:00+05:30,Delhi,137,pm10
2025-03-29T00:00:00+05:30,Mumbai,145,pm10
2025-03-30T00:00:00+05:30,Delhi,119,pm10
2025-03-30T00:00:00+05:30,Mumbai,129,pm10
2025-04-01T00:00:00+05:30,Delhi,185,pm25
2025-04-01T00:00:00+05:30,Mumbai,110,pm10
2025-04-02T00:00:00+05:30,Delhi,293,pm25
2025-04-02T00:00:00+05:30,Mumbai,122,pm10
2025-04-03T00:00:00+05:30,Delhi,176,pm10
2025-04-03T00:00:00+05:30,Mumbai,128,pm10
2025-04-04T00:00:00+05:30,Delhi,239,pm10
2025-04-04T00:00:00+05:30,Mumbai,137,pm10
2025-04-05T00:00:00+05:30,Delhi,192,pm10
2025-04-05T00:00:00+05:30,Mumbai,123,pm10
2025-04-06T00:00:00+05:30,Delhi,284,pm25
2025-04-06T00:00:00+05:30,Mumbai,112,pm10
2025-04-07T00:00:00+05:30,Delhi,279,pm10
2025-04-07T00:00:00+05:30,Mumbai,137,pm10
2025-04-08T00:00:00+05:30,Delhi,250,pm25
2025-04-08T00:00:00+05:30,Mumbai,112,pm10
2025-04-09T00:00:00+05:30,Delhi,260,pm25
2025-04-11T00:00:00+05:30,Delhi,171,pm10
2025-04-11T00:00:00+05:30,Mumbai,108,pm10
2025-04-12T00:00:00+05:30,Delhi,110,pm10
2025-04-12T00:00:00+05:30,Mumbai,96,pm10
2025-04-13T00:00:00+05:30,Delhi,139,pm10
2025-04-13T00:00:00+05:30,Mumbai,95,pm10
2025-04-14T00:00:00+05:30,Delhi,260,pm25
2025-04-15T00:00:00+05:30,Delhi,210,pm10
2025-04-15T00:00:00+05:30,Mumbai,168,pm25
2025-04-16T00:00:00+05:30,Delhi,167,pm10
2025-04-16T00:00:00+05:30,Mumbai,376,pm25
2025-04-17T00:00:00+05:30,Delhi,191,pm10
2025-04-17T00:00:00+05:30,Mumbai,376,pm25
2025-04-18T00:00:00+05:30,Delhi,214,pm10
2025-04-18T00:00:00+05:30,Mumbai,376,pm25
2025-04-19T00:00:00+05:30,Delhi,112,pm10
2025-04-19T00:00:00+05:30,Mumbai,376,pm25
2025-04-20T00:00:00+05:30,Delhi,177,pm10
2025-04-20T00:00:00+05:30,Mumbai,376,pm25
2025-04-21T00:00:00+05:30,Delhi,199,pm10
2025-04-21T00:00:00+05:30,Mumbai,376,pm25
2025-04-22T00:00:00+05:30,Delhi,209,pm10
2025-04-22T00:00:00+05:30,Mumbai,318,pm25
2025-04-23T00:00:00+05:30,Delhi,230,pm10
