date,city,pollutant,value
2025-02-19T00:00:00+05:30,Mumbai,pm25,57.6
2025-02-20T00:00:00+05:30,Mumbai,pm25,51.6
2025-02-21T00:00:00+05:30,Mumbai,pm25,47.6
2025-02-22T00:00:00+05:30,Mumbai,pm25,44.6
2025-02-24T00:00:00+05:30,Mumbai,pm25,57.0
2025-02-25T00:00:00+05:30,Mumbai,pm25,61.1
2025-02-26T00:00:00+05:30,Mumbai,pm25,62.5
2025-02-27T00:00:00+05:30,Mumbai,pm25,66.3
2025-02-28T00:00:00+05:30,Mumbai,pm25,66.7
2025-03-01T00:00:00+05:30,Mumbai,pm25,57.4
2025-03-02T00:00:00+05:30,Mumbai,pm25,55.6
2025-03-03T00:00:00+05:30,Mumbai,pm25,57.6
2025-03-04T00:00:00+05:30,Mumbai,pm25,61.0
2025-03-05T00:00:00+05:30,Mumbai,pm25,55.2
2025-03-06T00:00:00+05:30,Mumbai,pm25,70.5
2025-03-07T00:00:00+05:30,Mumbai,pm25,73.3
2025-03-08T00:00:00+05:30,Mumbai,pm25,75.4
2025-03-09T00:00:00+05:30,Mumbai,pm25,169.0
2025-03-10T00:00:00+05:30,Mumbai,pm25,218.0
2025-03-11T00:00:00+05:30,Mumbai,pm25,218.0
2025-03-12T00:00:00+05:30,Mumbai,pm25,190.0
2025-03-13T00:00:00+05:30,Mumbai,pm25,40.2
2025-03-14T00:00:00+05:30,Mumbai,pm25,40.6
2025-03-15T00:00:00+05:30,Mumbai,pm25,28.1
2025-03-16T00:00:00+05:30,Mumbai,pm25,29.6
2025-03-17T00:00:00+05:30,Mumbai,pm25,32.6
2025-03-18T00:00:00+05:30,Mumbai,pm25,30.6
2025-03-19T00:00:00+05:30,Mumbai,pm25,30.3
2025-03-20T00:00:00+05:30,Mumbai,pm25,36.4
2025-03-21T00:00:00+05:30,Mumbai,pm25,29.4
2025-03-22T00:00:00+05:30,Mumbai,pm25,29.5
2025-03-23T00:00:00+05:30,Mumbai,pm25,33.5
2025-03-24T00:00:00+05:30,Mumbai,pm25,32.8
2025-03-25T00:00:00+05:30,Mumbai,pm25,35.6
2025-03-26T00:00:00+05:30,Mumbai,pm25,28.3
2025-03-27T00:00:00+05:30,Mumbai,pm25,27.8
2025-03-28T00:00:00+05:30,Mumbai,pm25,31.1
2025-03-29T00:00:00+05:30,Mumbai,pm25,38.7
2025-03-30T00:00:00+05:30,Mumbai,pm25,35.7
2025-04-01T00:00:00+05:30,Mumbai,pm25,30.6
2025-04-02T00:00:00+05:30,Mumbai,pm25,34.1
2025-04-03T00:00:00+05:30,Mumbai,pm25,44.8
2025-04-04T00:00:00+05:30,Mumbai,pm25,38.8
2025-04-05T00:00:00+05:30,Mumbai,pm25,33.4
2025-04-06T00:00:00+05:30,Mumbai,pm25,31.2
2025-04-07T00:00:00+05:30,Mumbai,pm25,44.2
2025-04-08T00:00:00+05:30,Mumbai,pm25,32.4
2025-04-11T00:00:00+05:30,Mumbai,pm25,29.8
2025-04-12T00:00:00+05:30,Mumbai,pm25,28.0
2025-04-13T00:00:00+05:30,Mumbai,pm25,32.8
2025-04-15T00:00:00+05:30,Mumbai,pm25,80.4
2025-04-16T00:00:00+05:30,Mumbai,pm25,218.0
2025-04-17T00:00:00+05:30,Mumbai,pm25,218.0
2025-04-18T00:00:00+05:30,Mumbai,pm25,218.0
2025-04-19T00:00:00+05:30,Mumbai,pm25,218.0
2025-04-20T00:00:00+05:30,Mumbai,pm25,218.0
2025-04-21T00:00:00+05:30,Mumbai,pm25,218.0
2025-04-22T00:00:00+05:30,Mumbai,pm25,142.0
2025-04-23T00:00:00+05:30,Mumbai,pm25,56.2
2025-04-24T00:00:00+05:30,Mumbai,pm25,50.0
2025-04-25T00:00:00+05:30,Mumbai,pm25,52.2
2025-04-26T00:00:00+05:30,Mumbai,pm25,50.5
2025-04-27T00:00:00+05:30,Mumbai,pm25,50.3
2025-04-28T00:00:00+05:30,Mumbai,pm25,46.9
2025-04-29T00:00:00+05:30,Mumbai,pm25,44.4
2025-04-30T00:00:00+05:30,Mumbai,pm25,44.5
2025-05-01T00:00:00+05:30,Mumbai,pm25,37.3
2025-05-05T00:00:00+05:30,Mumbai,pm25,65.7
2025-05-06T00:00:00+05:30,Mumbai,pm25,52.4
2025-05-07T00:00:00+05:30,Mumbai,pm25,31.9
2025-05-08T00:00:00+05:30,Mumbai,pm25,30.9
2025-05-09T00:00:00+05:30,Mumbai,pm25,32.7
2025-05-10T00:00:00+05:30,Mumbai,pm25,35.5
2025-05-11T00:00:00+05:30,Mumbai,pm25,34.9
2025-05-12T00:00:00+05:30,Mumbai,pm25,33.2
2025-05-13T00:00:00+05:30,Mumbai,pm25,37.0
2025-05-14T00:00:00+05:30,Mumbai,pm25,42.6
2025-05-15T00:00:00+05:30,Mumbai,pm25,36.0
2025-05-16T00:00:00+05:30,Mumbai,pm25,44.3
2025-05-17T00:00:00+05:30,Mumbai,pm25,216.0
2025-05-18T00:00:00+05:30,Mumbai,pm25,218.0
2025-05-19T00:00:00+05:30,Mumbai,pm25,218.0
2025-05-20T00:00:00+05:30,Mumbai,pm25,155.0
2025-05-21T00:00:00+05:30,Mumbai,pm25,32.3
2025-05-22T00:00:00+05:30,Mumbai,pm25,27.8
2025-05-23T00:00:00+05:30,Mumbai,pm25,40.1
2025-05-24T00:00:00+05:30,Mumbai,pm25,37.5
2025-05-25T00:00:00+05:30,Mumbai,pm25,31.8
2025-05-26T00:00:00+05:30,Mumbai,pm25,30.4
2025-05-27T00:00:00+05:30,Mumbai,pm25,37.1
2025-05-28T00:00:00+05:30,Mumbai,pm25,30.0
2025-05-29T00:00:00+05:30,Mumbai,pm25,52.8
2025-05-30T00:00:00+05:30,Mumbai,pm25,50.5
2025-06-01T00:00:00+05:30,Mumbai,pm25,41.9
2025-06-02T00:00:00+05:30,Mumbai,pm25,40.8
2025-06-03T00:00:00+05:30,Mumbai,pm25,40.7
2025-06-04T00:00:00+05:30,Mumbai,pm25,29.3
2025-06-05T00:00:00+05:30,Mumbai,pm25,42.1
2025-06-06T00:00:00+05:30,Mumbai,pm25,45.7
2025-06-07T00:00:00+05:30,Mumbai,pm25,32.1
2025-06-09T00:00:00+05:30,Mumbai,pm25,41.7
2025-06-10T00:00:00+05:30,Mumbai,pm25,37.3
2025-06-11T00:00:00+05:30,Mumbai,pm25,34.1
2025-06-12T00:00:00+05:30,Mumbai,pm25,33.6
2025-06-13T00:00:00+05:30,Mumbai,pm25,31.5
2025-06-14T00:00:00+05:30,Mumbai,pm25,33.4
2025-06-15T00:00:00+05:30,Mumbai,pm25,28.7
2025-06-16T00:00:00+05:30,Mumbai,pm25,32.5
2025-06-17T00:00:00+05:30,Mumbai,pm25,41.0
2025-06-18T00:00:00+05:30,Mumbai,pm25,34.6
2025-06-19T00:00:00+05:30,Mumbai,pm25,36.8
2025-06-20T00:00:00+05:30,Mumbai,pm25,39.4
2025-06-21T00:00:00+05:30,Mumbai,pm25,43.9
2025-06-22T00:00:00+05:30,Mumbai,pm25,44.3
2025-06-23T00:00:00+05:30,Mumbai,pm25,44.5
2025-06-24T00:00:00+05:30,Mumbai,pm25,45.4
2025-06-25T00:00:00+05:30,Mumbai,pm25,47.9
2025-06-26T00:00:00+05:30,Mumbai,pm25,47.4
2025-06-27T00:00:00+05:30,Mumbai,pm25,42.4
2025-06-28T00:00:00+05:30,Mumbai,pm25,45.6
2025-06-29T00:00:00+05:30,Mumbai,pm25,44.7
2025-06-30T00:00:00+05:30,Mumbai,pm25,42.7
2025-07-01T00:00:00+05:30,Mumbai,pm25,39.9
2025-07-02T00:00:00+05:30,Mumbai,pm25,35.2
2025-07-03T00:00:00+05:30,Mumbai,pm25,35.3
2025-07-04T00:00:00+05:30,Mumbai,pm25,37.3
2025-07-05T00:00:00+05:30,Mumbai,pm25,38.0
2025-07-06T00:00:00+05:30,Mumbai,pm25,37.9
2025-07-07T00:00:00+05:30,Mumbai,pm25,40.6
2025-07-08T00:00:00+05:30,Mumbai,pm25,41.2
2025-07-09T00:00:00+05:30,Mumbai,pm25,39.1
2025-07-10T00:00:00+05:30,Mumbai,pm25,42.2
2025-07-11T00:00:00+05:30,Mumbai,pm25,39.2
2025-07-12T00:00:00+05:30,Mumbai,pm25,37.6
2025-07-13T00:00:00+05:30,Mumbai,pm25,35.4
2025-07-14T00:00:00+05:30,Mumbai,pm25,31.5
2025-07-15T00:00:00+05:30,Mumbai,pm25,34.4
2025-07-16T00:00:00+05:30,Mumbai,pm25,38.4
2025-07-17T00:00:00+05:30,Mumbai,pm25,36.1
2025-07-18T00:00:00+05:30,Mumbai,pm25,37.9
2025-07-19T00:00:00+05:30,Mumbai,pm25,39.7
2025-07-20T00:00:00+05:30,Mumbai,pm25,30.6
2025-07-21T00:00:00+05:30,Mumbai,pm25,27.1
2025-07-22T00:00:00+05:30,Mumbai,pm25,26.3
2025-07-23T00:00:00+05:30,Mumbai,pm25,86.0
2025-07-24T00:00:00+05:30,Mumbai,pm25,162.0
2025-07-25T00:00:00+05:30,Mumbai,pm25,27.5
2025-07-26T00:00:00+05:30,Mumbai,pm25,28.1
2025-07-27T00:00:00+05:30,Mumbai,pm25,29.1
2025-07-28T00:00:00+05:30,Mumbai,pm25,33.8
2025-07-29T00:00:00+05:30,Mumbai,pm25,33.0
2025-07-30T00:00:00+05:30,Mumbai,pm25,35.5
2025-08-01T00:00:00+05:30,Mumbai,pm25,39.4
2025-08-02T00:00:00+05:30,Mumbai,pm25,33.5
