SO2 upper bound: 46.75
Total outliers found: 34

                           date   city  value
1878  2025-10-30T00:00:00+05:30  Delhi  382.0
2030  2026-04-12T00:00:00+05:30  Delhi  376.0
1817  2025-08-29T00:00:00+05:30  Delhi  302.0
1897  2025-11-18T00:00:00+05:30  Delhi  216.0
2015  2026-03-27T00:00:00+05:30  Delhi  151.0
1821  2025-09-02T00:00:00+05:30  Delhi  144.0
1824  2025-09-05T00:00:00+05:30  Delhi  144.0
1815  2025-08-27T00:00:00+05:30  Delhi  127.0
1895  2025-11-16T00:00:00+05:30  Delhi   95.7
2036  2026-04-18T00:00:00+05:30  Delhi   88.0
1792  2025-08-04T00:00:00+05:30  Delhi   80.4
2040  2026-04-22T00:00:00+05:30  Delhi   70.9
2042  2026-04-24T00:00:00+05:30  Delhi   67.4
1925  2025-12-17T00:00:00+05:30  Delhi   65.8
1950  2026-01-20T00:00:00+05:30  Delhi   61.8
2035  2026-04-17T00:00:00+05:30  Delhi   61.3
2032  2026-04-14T00:00:00+05:30  Delhi   60.9
2106  2026-06-29T00:00:00+05:30  Delhi   60.7
2054  2026-05-06T00:00:00+05:30  Delhi   60.1
1891  2025-11-12T00:00:00+05:30  Delhi   59.8
1998  2026-03-10T00:00:00+05:30  Delhi   57.5
1894  2025-11-15T00:00:00+05:30  Delhi   56.1
2045  2026-04-27T00:00:00+05:30  Delhi   55.9
2000  2026-03-12T00:00:00+05:30  Delhi   54.4
2100  2026-06-22T00:00:00+05:30  Delhi   53.1
2049  2026-05-01T00:00:00+05:30  Delhi   53.0
1997  2026-03-09T00:00:00+05:30  Delhi   51.1
2023  2026-04-05T00:00:00+05:30  Delhi   50.8
2014  2026-03-26T00:00:00+05:30  Delhi   50.0
1694  2025-04-25T00:00:00+05:30  Delhi   50.0
1683  2025-04-14T00:00:00+05:30  Delhi   48.7
2053  2026-05-05T00:00:00+05:30  Delhi   48.3
1695  2025-04-26T00:00:00+05:30  Delhi   46.9
2039  2026-04-21T00:00:00+05:30  Delhi   46.8
